# WTDKP4C5-S1 网络连接表 — 适用于立创EDA/AD导入
# 格式: NetName, Component1, Pin1, Component2, Pin2, Description
# ===== 电源网络 =====
VCC12V,TB6612-1,VM,BAT,+,12V电机电源(独立供电,线宽≥2mm)
VCC12V,TB6612-2,VM,BAT,+,12V电机电源(独立供电,线宽≥2mm)
VCC5V,DC-DC,OUT,MQ135,VCC,5V电源轨(线宽≥1mm)
VCC5V,DC-DC,OUT,MQ136,VCC
VCC5V,DC-DC,OUT,MAX98357A,VCC
VCC3V3,LDO,OUT,TB6612-1,VCC,3.3V逻辑电源(线宽≥0.5mm)
VCC3V3,LDO,OUT,TB6612-2,VCC
VCC3V3,LDO,OUT,E1,VCC,编码器供电
VCC3V3,LDO,OUT,E2,VCC
VCC3V3,LDO,OUT,E3,VCC
VCC3V3,LDO,OUT,E4,VCC
VCC3V3,LDO,OUT,SSD1306,VCC,OLED
VCC3V3,LDO,OUT,SHT30,VCC
VCC3V3,LDO,OUT,MPU6050,VCC
VCC3V3,LDO,OUT,VL53L1X,VCC
VCC3V3,LDO,OUT,INMP441,VCC
GND,GND,ALL,GND,ALL,大面积铺铜/共地

# ===== P4 J2 排母 (左侧 2×20P) =====
J2-P1,VCC3V3,LDO,OUT,,,3.3V输出
J2-P6,GND,GND,,,地
J2-P8,GND,GND,,,地
J2-P23,PWR_CTRL,U1,GPIO,,电源控制(慎用)
J2-P24,GPIO6,TB6612-2,PWMA,,M2电机PWM 10kHz
J2-P25,GPIO0,P4,U1,,I2S BCLK输入(从机)
J2-P26,GPIO7,预留,拓展,,空闲
J2-P27,GPIO1,TB6612-1,AIN2,,M1电机方向2
J2-P28,GPIO8,预留,拓展,,空闲
J2-P29,GPIO2,TB6612-1,PWMA,,M1电机PWM 10kHz
J2-P30,GPIO11,C5,UART_TX,,板间UART RX(←C5)
J2-P31,GPIO3,TB6612-2,AIN1,,M2电机方向1
J2-P32,GPIO20,TB6612-2,PWMB,,M4电机PWM 10kHz(冲突修复)
J2-P33,GPIO4,TB6612-2,AIN2,,M2电机方向2
J2-P34,GPIO21,TB66112-1,STBY,,电机全局使能(并联)
J2-P34,GPIO21,TB6612-2,STBY,,电机全局使能(并联)
J2-P35,GPIO9,TB6612-1,PWMB,,M3电机PWM 10kHz
J2-P36,GPIO22,TB6612-1,BIN1,,M3电机方向1
J2-P37,GPIO10,C5,UART_RX,,板间UART TX(→C5) 杜邦线1白
J2-P38,GPIO23,TB6612-1,BIN2,,M3电机方向2
J2-P39,GND,GND,,,地
J2-P40,GND,GND,,,地

# ===== P4 J3 排母 (右侧 2×20P) =====
J3-P1,VCC5V,DC-DC,OUT,,5V输出
J3-P2,GPIO54,MPU6050,SDA,,I2C1 SDA(4.7kΩ→3.3V)
J3-P2,GPIO54,VL53L1X,SDA,,I2C1 SDA
J3-P3,VCC5V,DC-DC,OUT,,5V输出
J3-P4,GPIO53,MPU6050,SCL,,I2C1 SCL(4.7kΩ→3.3V)
J3-P4,GPIO53,VL53L1X,SCL,,I2C1 SCL
J3-P6,GND,GND,,,地
J3-P8,GND,GND,,,地
J3-P10,GPIO52,INMP441,SD,,I2S SD输入(并联C5 GPIO6) 杜邦线5蓝
J3-P12,GPIO51,C5,I2S_WS,,I2S WS输入(从机) 杜邦线4黄
J3-P13,GND,GND,,,地
J3-P14,GPIO50,MQ136,AO,,MQ136模拟(分压后ADC2_CH1)
J3-P15,GPIO36,E1,B,,M1编码器B相
J3-P16,GPIO49,MQ135,AO,,MQ135模拟(分压后ADC2_CH0)
J3-P17,GPIO34,E4,B,,M4编码器B相
J3-P18,GPIO48,SW1,OUT,,FWD前进按键
J3-P19,GPIO33,E4,A,,M4编码器A相
J3-P20,GPIO47,E2,A,,M2编码器A相
J3-P21,GPIO32,E3,B,,M3编码器B相
J3-P22,GPIO46,E1,A,,M1编码器A相
J3-P23,GPIO31,E2,B,,M2编码器B相
J3-P24,GPIO45,TB6612-1,AIN1,,M1电机方向1
J3-P25,GPIO30,E3,A,,M3编码器A相
J3-P26,GPIO44,SW4,OUT,,BACK急停按键(最高优先级)
J3-P27,GPIO29,TB6612-2,BIN2,,M4电机方向2(冲突修复)
J3-P28,GPIO43,SW3,OUT,,RIGHT路径切换按键
